model,task,signal,target,n,pearson_r,pearson_ci_low,pearson_ci_high,pearson_p,spearman_r,spearman_ci_low,spearman_ci_high,spearman_p,ordered_logit_coef,ordered_logit_p
14B,webquestions,head,direct_em,46,0.0292,-0.2675,0.314,0.8473,0.0017,-0.2823,0.3023,0.9908,,
14B,webquestions,head,thought_gap_sign,46,0.061,-0.1194,0.2381,0.6871,0.0509,-0.1793,0.2677,0.7368,0.0948,0.6538
14B,webquestions,min,direct_em,46,-0.02,-0.3002,0.2593,0.8948,-0.0506,-0.3243,0.248,0.7382,,
14B,webquestions,min,thought_gap_sign,46,0.0706,-0.1212,0.2513,0.6412,0.0636,-0.1781,0.2892,0.6743,0.114,0.6045
32B,webquestions,head,direct_em,46,0.2626,0.0139,0.492,0.0779,0.2544,-0.0265,0.5224,0.088,,
32B,webquestions,head,thought_gap_sign,46,-0.0128,-0.3008,0.2594,0.9327,0.0029,-0.3214,0.3128,0.9848,-0.0237,0.8969
32B,webquestions,min,direct_em,46,0.2237,-0.0171,0.4579,0.135,0.2097,-0.0736,0.4822,0.1619,,
32B,webquestions,min,thought_gap_sign,46,0.0524,-0.2248,0.2946,0.7293,0.0746,-0.2494,0.357,0.6224,0.059,0.7517
V3,webquestions,head,direct_em,46,0.18,-0.084,0.4305,0.2313,0.2126,-0.0784,0.486,0.1561,,
V3,webquestions,head,thought_gap_sign,46,-0.2027,-0.492,0.0876,0.1766,-0.2235,-0.5065,0.1015,0.1354,-0.2944,0.1668
V3,webquestions,min,direct_em,46,0.2034,-0.0633,0.4497,0.1752,0.2373,-0.0641,0.5143,0.1122,,
V3,webquestions,min,thought_gap_sign,46,-0.2022,-0.5039,0.1006,0.1777,-0.2231,-0.5093,0.1082,0.1361,-0.3019,0.1676
14B,triviaqa,head,direct_em,50,0.1481,-0.1583,0.4355,0.3047,0.1256,-0.1595,0.4071,0.3848,,
14B,triviaqa,head,thought_gap_sign,50,0.1328,-0.2026,0.4306,0.358,0.0631,-0.225,0.3512,0.6635,0.09,0.4638
14B,triviaqa,min,direct_em,50,0.205,-0.0909,0.4818,0.1532,0.1906,-0.1012,0.454,0.185,,
14B,triviaqa,min,thought_gap_sign,50,0.0753,-0.2601,0.364,0.6033,0.0052,-0.2872,0.2972,0.9713,0.0411,0.7523
32B,triviaqa,head,direct_em,50,0.0052,-0.3153,0.3047,0.9716,-0.0433,-0.3398,0.253,0.7652,,
32B,triviaqa,head,thought_gap_sign,50,0.1733,0.0239,0.3249,0.2287,0.223,0.034,0.403,0.1196,0.14,0.2495
32B,triviaqa,min,direct_em,50,0.0801,-0.2378,0.3859,0.5803,0.0433,-0.2794,0.3557,0.7652,,
32B,triviaqa,min,thought_gap_sign,50,0.1699,-0.0162,0.343,0.2381,0.223,0.0009,0.4138,0.1196,0.1515,0.2521
V3,triviaqa,head,direct_em,50,-0.0806,-0.377,0.2243,0.5779,-0.0887,-0.3586,0.1944,0.5403,,
V3,triviaqa,head,thought_gap_sign,50,0.176,0.0013,0.3368,0.2215,0.189,-0.0283,0.3861,0.1886,0.3746,0.238
V3,triviaqa,min,direct_em,50,-0.0334,-0.3611,0.3163,0.818,-0.0736,-0.3779,0.2482,0.6115,,
V3,triviaqa,min,thought_gap_sign,50,0.0607,-0.1577,0.2754,0.6755,0.046,-0.1943,0.2716,0.7512,0.1069,0.6691
